,Titres,Format Prix,Evaluations (sur 5),Nombre d'évaluations,Liens
29,230 recettes gourmandes pour mincir sur mesure,"['Broché 16,90€€']","4,3",177,https://www.amazon.fr//recettes-gourmandes-pour-mincir-mesure/dp/2226241558/ref=sr_1_79?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-79
30,Recettes équilibrées sans se ruiner avec Cookeo,"['Broché 9,95€€']","4,5",295,https://www.amazon.fr//Recettes-%C3%A9quilibr%C3%A9es-sans-ruiner-Cookeo/dp/2035986257/ref=sr_1_80?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-80
31,Ma cuisine au robot-cuiseur - 150 recettes faciles et rapides,"['Broché 7,95€€']","4,4",759,https://www.amazon.fr//Ma-cuisine-robot-cuiseur-recettes-faciles/dp/2412028184/ref=sr_1_81?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-81
32,"En 2h je cuisine pour toute la semaine : 80 repas faits maison, sans gâchis et avec des produits de saison (Hors Collection Cuisine)","['Broché 24,95€€', 'Format Kindle 16,99€€']","4,3",1109,https://www.amazon.fr//cuisine-pour-toute-semaine-Collection-ebook/dp/B07KBDS2XV/ref=sr_1_82?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-82
33,"Recettes Jeûne Intermittent: Une collection des meilleures recettes fasting pour réussir votre jeûne intermittent et atteindre vos objectifs (recettes minceur et gourmandes, recettes cétogènes faciles","['Format Kindle 3,99€€', 'Broché 9,99€€']","2,0",1,https://www.amazon.fr//Recettes-Je%C3%BBne-Intermittent-collection-intermittent/dp/B08XH2JRJY/ref=sr_1_83?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-83
34,Healthy vegan (HEALTHY),"['Relié 29,95€€']","4,5",132,https://www.amazon.fr//Healthy-vegan-Marie-Laforet/dp/2842214684/ref=sr_1_84?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-84
35,Les recettes cultes de Big Will,"['Broché 19,90€€']","4,6",524,https://www.amazon.fr//recettes-cultes-Big-Will/dp/2263161279/ref=sr_1_85?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-85
36,Superbowls les repas santé & équilibrés,"['Broché 9,95€€']","4,5",305,https://www.amazon.fr//Superbowls-repas-%C3%A9quilibr%C3%A9s-Quitterie-Pasquesoone/dp/2035926513/ref=sr_1_86?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-86
37,Recettes végétariennes au Cookeo: Des recettes saines et équilibrées et végétariens pour toute la famille.,"['Format Kindle 4,90€€', 'Broché 9,89€€']","5,0",2,https://www.amazon.fr//Recettes-v%C3%A9g%C3%A9tariennes-Cookeo-%C3%A9quilibr%C3%A9es-v%C3%A9g%C3%A9tariens/dp/B08VRMMWL6/ref=sr_1_87?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-87
38,"Mon Carnet de recettes: Livre de recettes à écrire | Carnet personnalisé pour 50 recettes de cuisine à remplir | 2 pages par recette |Grand Format 21,59 cm x 27,94 cm [ Idée cadeau à offrir","['Broché 6,99€€']","4,8",23,https://www.amazon.fr//Mon-Carnet-recettes-personnalis%C3%A9-cuisine/dp/B08992BD7F/ref=sr_1_88?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-88
